Team,Color 1 RGB,Color 1 CMYK,Color 1 Pantone,Color 1 Hex,Color 2 RGB,Color 2 CMYK,Color 2 Pantone,Color 2 Hex
West Liberty,"(0, 0, 0)","(60, 40, 40, 100)",PMS Black 6 C,#000000,"(255, 205, 50)","(0, 19, 90, 0)",PMS 122 C,#FFCD32
Fairmont,"(111, 49, 60)","(40, 83, 61, 39)",PMS 505 C,#6F313C,"(255, 255, 255)","(0, 0, 0, 0)",Not Available,#FFFFFF
Wheeling,"(231, 22, 54)","(3, 100, 84, 0)",PMS 199 C,#E71636,"(252, 191, 23)","(1, 26, 98, 0)",PMS 123 C,#FCBF17
Charleston,"(153, 34, 68)","(29, 97, 62, 20)",PMS 194 C,#992244,"(255, 210, 0)","(1, 16, 99, 0)",PMS 116 C,#FFD200
Concord,"(116, 3, 59)","(38, 100, 53, 37)",PMS 216 C,#74033B,"(134, 148, 159)","(51, 35, 31, 1)",PMS 7544 C,#86949F
Glenville,"(0, 81, 186)","(92, 74, 0, 0)",PMS 293 C,#0051BA,"(255, 255, 255)","(0, 0, 0, 0)",Not Available,#FFFFFF
Frostburg,"(233, 31, 45)","(0, 87, 81, 9)",PMS 1788 C,#E91F2d,"(0, 0, 0)","(0, 0, 0, 100)",Black 6 C,#000000
D&E,"(210, 28, 46)","(11, 100, 92, 2)",PMS 186 C,#D21C2E,"(255, 255, 255)","(0, 0, 0, 0)",Not Available,#FFFFFF
Point Park,"(109, 141, 36)","(40, 0, 100, 38)",PMS 7496,#6D8D24,"(253, 184, 19)","(0, 30, 100, 0)",PMS 130,#FDB813
WVSU,"(207, 171, 43)","(21, 30, 100, 1)",PMS 7753 C,#CFAB2B,"(0, 0, 0)","(60, 40, 40, 100)",PMS Black 6 C,#000000
Salem,"(20, 147, 72)","(85, 18, 99, 4)",PMS 7739 C,#149348,"(255, 255, 255)","(0, 0, 0, 0)",Not Available,#FFFFFF
